Ticket-ID;Kategorie;Datum;Uhrzeit
113985;Facebook;03.06.19;07:17:27
113986;Facebook;03.06.19;07:19:33
113987;Facebook;03.06.19;07:19:35
113989;Facebook;03.06.19;07:21:46
113990;Facebook;03.06.19;07:29:30
113991;Facebook;03.06.19;07:30:12
113992;Facebook;03.06.19;07:36:23
113993;Facebook;03.06.19;07:38:25
113994;Facebook;03.06.19;07:38:26
113995;Facebook;03.06.19;07:39:07
113996;Facebook;03.06.19;07:44:30
113997;Facebook;03.06.19;07:46:32
113998;Facebook;03.06.19;07:50:35
114002;Sonstiges;03.06.19;07:58:54
114005;Facebook;03.06.19;08:06:22
114006;Facebook;03.06.19;08:08:23
114007;Facebook;03.06.19;08:14:26
114008;Facebook;03.06.19;08:15:08
114010;Facebook;03.06.19;08:17:10
114011;Facebook;03.06.19;08:17:12
114012;Facebook;03.06.19;08:19:13
114013;Facebook;03.06.19;08:20:36
114014;Twitter;03.06.19;08:21:08
114016;Facebook;03.06.19;08:26:00
114017;Facebook;03.06.19;08:26:42
114018;Facebook;03.06.19;08:27:26
114020;Facebook;03.06.19;08:32:18
114021;Facebook;03.06.19;08:35:12
114025;Facebook;03.06.19;08:45:22
114026;Facebook;03.06.19;08:46:05
114028;Facebook;03.06.19;08:50:14
114031;Facebook;03.06.19;09:01:37
114032;Twitter;03.06.19;09:01:44
114033;Twitter;03.06.19;09:01:44
114034;Facebook;03.06.19;09:05:02
114035;Facebook;03.06.19;09:05:44
114036;Facebook;03.06.19;09:07:06
114037;Facebook;03.06.19;09:09:50
114038;Facebook;03.06.19;09:09:51
114040;Facebook;03.06.19;09:09:53
114041;Facebook;03.06.19;09:10:35
114042;Facebook;03.06.19;09:11:18
114043;Twitter;03.06.19;09:11:54
114044;Twitter;03.06.19;09:12:54
114046;Facebook;03.06.19;09:16:47
114049;Facebook;03.06.19;09:27:25
114050;Facebook;03.06.19;09:28:07
114051;Facebook;03.06.19;09:28:49
114053;Facebook;03.06.19;09:39:44
114056;Facebook;03.06.19;09:43:50
114057;Facebook;03.06.19;09:48:38
114059;Facebook;03.06.19;09:54:07
114062;Facebook;03.06.19;09:57:25
114064;Facebook;03.06.19;10:03:54
114066;Facebook;03.06.19;10:13:26
114067;Sonstiges;03.06.19;10:15:33
114069;Facebook;03.06.19;10:26:23
114070;Sonstiges;03.06.19;10:29:12
114071;Facebook;03.06.19;10:31:17
114073;Facebook;03.06.19;10:36:05
114074;Facebook;03.06.19;10:36:47
114075;Facebook;03.06.19;10:39:33
114076;Facebook;03.06.19;10:40:16
114079;Facebook;03.06.19;10:43:00
114080;Bearbeiten_EILT;03.06.19;10:44:20
114081;Facebook;03.06.19;10:45:44
114082;Facebook;03.06.19;10:57:23
114085;Facebook;03.06.19;11:23:32
114089;Facebook;03.06.19;11:37:15
114090;Facebook;03.06.19;11:48:50
114091;Facebook;03.06.19;11:52:17
114096;Facebook;03.06.19;12:13:03
114098;Facebook;03.06.19;12:15:48
114099;Facebook;03.06.19;12:19:55
114100;Facebook;03.06.19;12:20:37
114101;Bearbeitung_EILT_ohneFreigabe;03.06.19;12:27:38
114105;Facebook;03.06.19;12:34:40
114107;Facebook;03.06.19;12:40:31
114108;Facebook;03.06.19;12:41:15
114110;Facebook;03.06.19;12:44:54
114111;Facebook;03.06.19;12:47:00
114112;Facebook;03.06.19;12:48:26
114114;Facebook;03.06.19;12:57:29
114115;Facebook;03.06.19;12:59:35
114116;Facebook;03.06.19;13:03:42
114117;Facebook;03.06.19;13:05:09
114118;Facebook;03.06.19;13:17:44
114119;Bearbeiten_EILT;03.06.19;13:23:36
114121;Facebook;03.06.19;13:25:36
114122;Facebook;03.06.19;13:29:44
114123;Facebook;03.06.19;13:31:08
114124;Facebook;03.06.19;13:31:50
114126;Facebook;03.06.19;13:36:00
114127;Facebook;03.06.19;13:38:05
114128;Facebook;03.06.19;13:38:48
114129;Facebook;03.06.19;13:42:15
114130;Facebook;03.06.19;13:48:30
114133;Facebook;03.06.19;14:04:25
114134;Facebook;03.06.19;14:05:08
114135;FB Nachricht;03.06.19;14:14:55
114136;Facebook;03.06.19;14:15:39
114137;Facebook;03.06.19;14:15:42
114138;Facebook;03.06.19;14:16:24
114139;Facebook;03.06.19;14:19:53
114141;Bearbeiten_EILT;03.06.19;14:23:05
114142;Facebook;03.06.19;14:24:44
114143;Facebook;03.06.19;14:27:31
114144;Facebook;03.06.19;14:29:37
114145;Facebook;03.06.19;14:31:02
114146;Facebook;03.06.19;14:31:03
114147;Facebook;03.06.19;14:33:10
114149;Facebook;03.06.19;14:37:21
114151;Facebook;03.06.19;14:38:44
114153;Facebook;03.06.19;14:42:56
114154;Facebook;03.06.19;14:45:44
114156;Facebook;03.06.19;14:51:20
114159;Facebook;03.06.19;15:02:25
114160;Twitter;03.06.19;15:02:46
114161;Facebook;03.06.19;15:03:09
114166;Facebook;03.06.19;15:11:36
114167;Facebook;03.06.19;15:12:19
114168;Facebook;03.06.19;15:13:43
114170;Facebook;03.06.19;15:20:25
114171;Facebook;03.06.19;15:20:27
114173;Twitter;03.06.19;15:24:05
114178;Bearbeiten_EILT;03.06.19;15:42:42
114179;Facebook;03.06.19;15:44:46
114180;Facebook;03.06.19;15:45:30
114182;Facebook;03.06.19;15:51:49
114183;Facebook;03.06.19;15:56:02
114184;Sonstiges;03.06.19;15:58:19
114187;Sonstiges;03.06.19;16:05:23
114189;Facebook;03.06.19;16:08:01
114191;Facebook;03.06.19;16:10:57
114199;Facebook;03.06.19;16:21:11
114200;Facebook;03.06.19;16:21:12
114201;Facebook;03.06.19;16:25:42
114202;Facebook;03.06.19;16:27:13
114206;Bearbeitung_EILT_ohneFreigabe;03.06.19;16:31:41
114207;Facebook;03.06.19;16:36:00
114209;Facebook;03.06.19;16:38:50
114210;Facebook;03.06.19;16:39:33
114212;Facebook;03.06.19;16:40:18
114213;Facebook;03.06.19;16:40:19
114214;Facebook;03.06.19;16:41:45
114215;Facebook;03.06.19;16:42:28
114216;Facebook;03.06.19;16:43:11
114217;Facebook;03.06.19;16:45:19
114218;Facebook;03.06.19;16:45:20
114219;Facebook;03.06.19;16:46:05
114220;Facebook;03.06.19;16:47:32
114221;Facebook;03.06.19;16:48:15
114224;Facebook;03.06.19;16:53:10
114227;Facebook;03.06.19;16:58:07
114228;Facebook;03.06.19;16:58:52
114229;Facebook;03.06.19;17:00:18
114232;Facebook;03.06.19;17:05:18
114233;Facebook;03.06.19;17:08:09
114234;Twitter;03.06.19;17:11:57
114235;Twitter;03.06.19;17:12:58
114238;Facebook;03.06.19;17:27:30
114240;Facebook;03.06.19;17:32:12
114242;Facebook;03.06.19;17:35:49
114243;Facebook;03.06.19;17:39:22
114245;Sonstiges;03.06.19;17:41:14
114247;Facebook;03.06.19;17:45:45
114250;Facebook;03.06.19;17:53:09
114251;Facebook;03.06.19;17:53:56
114252;Facebook;03.06.19;17:53:57
114259;Facebook;03.06.19;18:05:07
114261;Facebook;03.06.19;18:08:09
114262;Facebook;03.06.19;18:10:22
114263;Facebook;03.06.19;18:14:02
114264;Facebook;03.06.19;18:14:47
114265;Facebook;03.06.19;18:16:16
114267;Facebook;03.06.19;18:20:32
114269;Facebook;03.06.19;18:26:40
114270;Facebook;03.06.19;18:26:42
114271;Facebook;03.06.19;18:28:12
114272;Facebook;03.06.19;18:28:56
114273;Facebook;03.06.19;18:29:40
114274;Facebook;03.06.19;18:30:25
114275;Facebook;03.06.19;18:31:53
114276;Facebook;03.06.19;18:32:37
114277;Sonstiges;03.06.19;18:35:50
114278;Facebook;03.06.19;18:37:43
114279;Facebook;03.06.19;18:51:44
114281;Facebook;03.06.19;19:05:49
114283;Facebook;03.06.19;19:18:20
114285;Twitter;03.06.19;19:20:33
114287;Facebook;03.06.19;19:29:59
114288;Facebook;03.06.19;19:36:48
114289;Facebook;03.06.19;19:36:51
114293;Facebook;03.06.19;19:41:25
114294;Facebook;03.06.19;19:45:17
114295;Twitter;03.06.19;19:48:02
114297;Facebook;03.06.19;20:00:15
114299;Facebook;03.06.19;20:16:44
114301;Facebook;03.06.19;20:23:54
114302;Twitter;03.06.19;20:27:45
114305;Facebook;03.06.19;20:48:47
114306;Twitter;03.06.19;20:50:10
114307;Bearbeiten_EILT;03.06.19;20:56:24
114308;Facebook;03.06.19;20:57:25
114309;Facebook;03.06.19;21:00:17
114310;Facebook;03.06.19;21:04:36
114312;Facebook;03.06.19;21:08:13
114313;Facebook;03.06.19;21:11:05
114318;Facebook;03.06.19;21:18:15
114321;Facebook;03.06.19;21:44:51
114322;Facebook;03.06.19;21:45:41
114323;Facebook;03.06.19;21:48:01
114324;Facebook;03.06.19;21:50:23
114325;Facebook;03.06.19;21:51:16
114327;Facebook;03.06.19;21:59:25
114328;Facebook;03.06.19;22:00:52
114329;Facebook;03.06.19;22:00:56
114330;Facebook;03.06.19;22:02:25
114331;Facebook;03.06.19;22:02:26
114332;Facebook;03.06.19;22:03:55
114333;Facebook;03.06.19;22:04:39
114334;Facebook;03.06.19;22:05:24
114335;Twitter;03.06.19;22:06:38
114336;Facebook;03.06.19;22:07:34
114337;Facebook;03.06.19;22:08:19
114338;Facebook;03.06.19;22:10:37
114339;Facebook;03.06.19;22:26:26
114340;Facebook;03.06.19;22:27:11
114343;Facebook;03.06.19;22:42:59
114345;Facebook;03.06.19;22:46:32
114346;Spam;03.06.19;22:52:21
114348;Facebook;03.06.19;22:54:23
114354;Facebook;04.06.19;00:03:54
114359;Facebook;04.06.19;00:21:59
114360;Facebook;04.06.19;01:02:40
114363;Facebook;04.06.19;02:22:05
114366;Facebook;04.06.19;03:18:19
114367;Facebook;04.06.19;03:21:10
114368;Facebook;04.06.19;05:24:35
114371;Facebook;04.06.19;06:20:13
114372;Facebook;04.06.19;06:32:20
114373;Facebook;04.06.19;06:34:28
114374;Facebook;04.06.19;06:41:31
114375;Facebook;04.06.19;06:45:06
114383;Facebook;04.06.19;07:55:27
114387;Facebook;04.06.19;08:17:36
114388;Facebook;04.06.19;08:18:19
114389;Facebook;04.06.19;08:23:56
114390;Sonstiges;04.06.19;08:25:14
114391;Twitter;04.06.19;08:27:05
114393;Facebook;04.06.19;08:27:28
114395;Sonstiges;04.06.19;08:30:49
114396;Facebook;04.06.19;08:31:42
114398;Facebook;04.06.19;08:38:02
114402;Facebook;04.06.19;08:47:26
114403;Twitter;04.06.19;08:49:28
114404;Facebook;04.06.19;08:49:34
114405;Twitter;04.06.19;08:51:30
114407;Sonstiges;04.06.19;09:05:05
114409;Facebook;04.06.19;09:33:55
114412;Twitter;04.06.19;09:47:23
114414;Sonstiges;04.06.19;09:53:00
114415;Twitter;04.06.19;09:53:28
114418;Facebook;04.06.19;10:02:15
114421;Facebook;04.06.19;10:12:05
114422;Sonstiges;04.06.19;10:21:16
114424;Facebook;04.06.19;10:29:16
114425;Facebook;04.06.19;10:32:51
114426;Facebook;04.06.19;10:38:35
114428;Facebook;04.06.19;10:42:51
114430;Facebook;04.06.19;10:44:59
114431;Facebook;04.06.19;10:45:01
114432;Facebook;04.06.19;10:46:27
114435;Facebook;04.06.19;11:05:42
114440;Facebook;04.06.19;11:16:12
114442;Facebook;04.06.19;11:19:18
114443;Facebook;04.06.19;11:20:07
114444;Facebook;04.06.19;11:20:08
114445;Facebook;04.06.19;11:21:41
114447;Facebook;04.06.19;11:24:42
114448;Facebook;04.06.19;11:27:41
114450;Spam;04.06.19;11:28:20
114452;Facebook;04.06.19;11:34:17
114455;Facebook;04.06.19;11:47:06
114456;Facebook;04.06.19;11:50:01
114460;Facebook;04.06.19;11:55:50
114462;Facebook;04.06.19;12:00:11
114463;Facebook;04.06.19;12:04:27
114466;Facebook;04.06.19;12:10:19
114467;Bearbeiten_EILT;04.06.19;12:11:12
114468;Facebook;04.06.19;12:15:49
114469;Facebook;04.06.19;12:15:50
114470;Facebook;04.06.19;12:15:51
114471;Großer Verteiler;04.06.19;12:16:15
114472;Facebook;04.06.19;12:18:43
114474;Facebook;04.06.19;12:28:01
114475;Sonstiges;04.06.19;12:30:22
114476;Facebook;04.06.19;12:32:17
114477;Facebook;04.06.19;12:35:10
114479;Facebook;04.06.19;12:37:23
114481;Facebook;04.06.19;12:38:08
114485;Facebook;04.06.19;12:39:41
114486;Facebook;04.06.19;12:43:29
114487;Facebook;04.06.19;12:47:28
114488;Twitter;04.06.19;12:49:15
114489;Facebook;04.06.19;12:49:50
114490;Facebook;04.06.19;13:00:16
114491;Twitter;04.06.19;13:03:29
114492;Facebook;04.06.19;13:04:37
114496;Facebook;04.06.19;13:10:23
114497;Facebook;04.06.19;13:11:11
114498;Twitter;04.06.19;13:13:40
114499;Facebook;04.06.19;13:19:13
114500;Facebook;04.06.19;13:27:50
114501;Facebook;04.06.19;13:30:46
114505;Facebook;04.06.19;13:53:09
114506;Twitter;04.06.19;13:54:23
114508;Facebook;04.06.19;13:58:56
114509;Facebook;04.06.19;14:06:29
114510;Facebook;04.06.19;14:08:46
114511;Facebook;04.06.19;14:11:08
114512;Facebook;04.06.19;14:23:29
114513;Twitter;04.06.19;14:25:55
114518;Facebook;04.06.19;14:54:55
114519;Facebook;04.06.19;14:59:17
114522;Facebook;04.06.19;15:03:00
114523;Twitter;04.06.19;15:06:35
114526;Facebook;04.06.19;15:17:35
114528;Facebook;04.06.19;15:18:20
114530;Facebook;04.06.19;15:23:02
114533;Facebook;04.06.19;15:36:29
114534;Facebook;04.06.19;15:38:47
114539;Facebook;04.06.19;15:49:46
114540;Facebook;04.06.19;15:52:08
114541;Facebook;04.06.19;15:54:27
114542;Facebook;04.06.19;15:55:58
114543;Facebook;04.06.19;15:57:28
114544;Facebook;04.06.19;15:59:04
114545;Facebook;04.06.19;16:04:14
114547;Facebook;04.06.19;16:09:32
114548;Facebook;04.06.19;16:16:09
114549;Facebook;04.06.19;16:16:10
114550;Facebook;04.06.19;16:22:01
114551;Facebook;04.06.19;16:27:49
114552;Facebook;04.06.19;16:28:35
114560;Facebook;04.06.19;17:42:53
114561;Bearbeiten;04.06.19;17:44:52
114564;Facebook;04.06.19;17:55:24
114566;Twitter;04.06.19;18:02:10
114567;Facebook;04.06.19;18:02:54
114570;Facebook;04.06.19;18:08:52
114573;Facebook;04.06.19;18:19:15
114574;Bearbeiten_EILT;04.06.19;18:22:43
114576;Facebook;04.06.19;18:36:27
114577;Facebook;04.06.19;18:37:18
114578;Facebook;04.06.19;18:43:11
114579;Facebook;04.06.19;18:49:48
114581;Twitter;04.06.19;19:02:12
114582;Twitter;04.06.19;19:02:12
114583;Twitter;04.06.19;19:02:12
114588;Facebook;04.06.19;19:12:33
114589;Facebook;04.06.19;19:17:02
114592;Facebook;04.06.19;19:35:27
114599;Facebook;04.06.19;20:26:44
114600;Facebook;04.06.19;20:34:59
114601;Twitter;04.06.19;20:42:05
114603;Facebook;04.06.19;21:07:15
114607;Facebook;04.06.19;21:17:38
114610;Facebook;04.06.19;21:34:40
114612;Facebook;04.06.19;21:46:22
114613;Facebook;04.06.19;21:53:55
114614;Bearbeiten_EILT;04.06.19;22:01:12
114616;Bearbeiten_EILT;04.06.19;22:13:49
114619;Facebook;04.06.19;22:24:51
114620;Facebook;04.06.19;22:28:29
114621;Facebook;04.06.19;22:29:15
114623;Facebook;04.06.19;22:40:54
114629;Facebook;04.06.19;23:33:14
114630;Facebook;04.06.19;23:36:09
114635;Facebook;05.06.19;00:20:12
114637;Facebook;05.06.19;04:32:16
114638;Facebook;05.06.19;06:11:02
114640;Sonstiges;05.06.19;06:59:43
114641;Facebook;05.06.19;07:15:20
114642;Facebook;05.06.19;07:18:20
114643;Facebook;05.06.19;07:27:09
114645;Twitter;05.06.19;07:37:38
114646;Facebook;05.06.19;07:55:41
114648;Facebook;05.06.19;08:15:16
114651;Facebook;05.06.19;08:27:00
114652;Facebook;05.06.19;08:33:50
114653;Twitter;05.06.19;08:34:28
114654;Facebook;05.06.19;08:39:40
114658;Spam;05.06.19;09:05:44
114660;Facebook;05.06.19;09:13:20
114661;Facebook;05.06.19;09:22:24
114662;Facebook;05.06.19;09:23:54
114663;Facebook;05.06.19;09:38:27
114669;Facebook;05.06.19;10:06:24
114675;Twitter;05.06.19;10:37:15
114676;Bearbeiten_EILT;05.06.19;10:37:30
114677;Bearbeiten_EILT;05.06.19;10:49:05
114689;Facebook;05.06.19;11:45:04
114693;Facebook;05.06.19;12:06:15
114694;Facebook;05.06.19;12:08:26
114700;Facebook;05.06.19;12:45:10
114701;Facebook;05.06.19;12:51:53
114702;Twitter;05.06.19;13:01:27
114704;Bearbeiten_EILT;05.06.19;13:06:04
114706;Facebook;05.06.19;13:24:00
114707;Facebook;05.06.19;13:29:17
114708;Facebook;05.06.19;13:37:28
114710;Facebook;05.06.19;13:41:56
114713;Facebook;05.06.19;13:52:12
114715;Facebook;05.06.19;13:58:31
114716;Sonstiges;05.06.19;13:59:18
114718;Facebook;05.06.19;14:13:28
114721;Facebook;05.06.19;14:24:31
114736;Facebook;05.06.19;15:14:20
114737;FB Nachricht;05.06.19;15:15:42
114742;Sonstiges_2;05.06.19;15:37:58
114744;Facebook;05.06.19;15:50:41
114750;Facebook;05.06.19;16:30:27
114751;Facebook;05.06.19;16:30:28
114756;Facebook;05.06.19;16:40:13
114757;Facebook;05.06.19;16:42:34
114765;Facebook;05.06.19;17:05:10
114766;Facebook;05.06.19;17:08:10
114767;Facebook;05.06.19;17:08:10
114768;Facebook;05.06.19;17:09:42
114773;Twitter;05.06.19;17:27:48
114774;Facebook;05.06.19;17:30:49
114775;Facebook;05.06.19;17:41:32
114780;Facebook;05.06.19;18:18:02
114781;Facebook;05.06.19;18:19:36
114782;Facebook;05.06.19;18:19:36
114783;Facebook;05.06.19;18:19:37
114784;Facebook;05.06.19;18:21:16
114785;Facebook;05.06.19;18:22:05
114786;Facebook;05.06.19;18:22:07
114787;Facebook;05.06.19;18:22:56
114792;Facebook;05.06.19;18:32:13
114795;Facebook;05.06.19;18:35:25
114796;Facebook;05.06.19;18:36:11
114797;Facebook;05.06.19;18:36:58
114798;Facebook;05.06.19;18:40:07
114799;Facebook;05.06.19;18:44:19
114800;Facebook;05.06.19;18:44:20
114801;Facebook;05.06.19;18:44:21
114802;Facebook;05.06.19;18:46:36
114803;Facebook;05.06.19;18:53:16
114804;Facebook;05.06.19;18:58:35
114806;Facebook;05.06.19;19:02:18
114808;Facebook;05.06.19;19:06:16
114809;Facebook;05.06.19;19:10:44
114810;Facebook;05.06.19;19:10:45
114811;Facebook;05.06.19;19:11:31
114814;Facebook;05.06.19;19:16:42
114816;Facebook;05.06.19;19:19:41
114817;Facebook;05.06.19;19:21:10
114818;Facebook;05.06.19;19:26:22
114819;Facebook;05.06.19;19:30:12
114820;Facebook;05.06.19;19:31:00
114821;Facebook;05.06.19;19:49:43
114823;Facebook;05.06.19;19:55:17
114824;Facebook;05.06.19;20:29:20
114827;Facebook;05.06.19;20:53:28
114830;Facebook;05.06.19;21:25:07
114831;Facebook;05.06.19;21:27:20
114833;Facebook;05.06.19;21:42:19
114834;Twitter;05.06.19;22:01:22
114835;Facebook;05.06.19;22:05:14
114836;Bearbeiten_EILT;05.06.19;22:06:41
114838;Facebook;05.06.19;22:15:43
114839;Facebook;05.06.19;22:26:41
114840;Facebook;05.06.19;22:27:29
114841;Facebook;05.06.19;22:32:03
114842;Facebook;05.06.19;22:32:04
114843;Facebook;05.06.19;22:32:47
114844;Facebook;05.06.19;22:33:32
114845;Facebook;05.06.19;22:54:47
114846;Facebook;05.06.19;22:55:35
114847;Facebook;05.06.19;23:00:43
114848;Facebook;05.06.19;23:01:32
114849;Twitter;05.06.19;23:36:01
114854;Facebook;05.06.19;23:49:58
114855;Facebook;06.06.19;00:03:33
114856;Facebook;06.06.19;00:19:33
114857;Facebook;06.06.19;00:39:26
114861;Facebook;06.06.19;05:50:25
114863;Facebook;06.06.19;06:45:57
114864;Facebook;06.06.19;06:47:28
114871;Facebook;06.06.19;07:17:39
114872;Facebook;06.06.19;07:24:22
114873;Spam;06.06.19;07:48:23
114874;Facebook;06.06.19;07:53:27
114875;Facebook;06.06.19;08:04:30
114876;Facebook;06.06.19;08:06:48
114877;FB Nachricht;06.06.19;08:08:05
114883;Facebook;06.06.19;08:50:53
114885;Facebook;06.06.19;08:59:41
114886;Facebook;06.06.19;09:01:11
114887;Facebook;06.06.19;09:10:08
114888;Facebook;06.06.19;09:13:11
114891;Facebook;06.06.19;09:31:45
114894;Facebook;06.06.19;09:48:42
114895;Facebook;06.06.19;09:54:36
114897;Facebook;06.06.19;09:58:17
114898;Facebook;06.06.19;10:00:31
114902;Facebook;06.06.19;10:06:33
114903;Facebook;06.06.19;10:11:44
114907;Sonstiges;06.06.19;10:43:46
114913;Facebook;06.06.19;11:25:07
114914;Facebook;06.06.19;11:27:22
114915;Sonstiges_2;06.06.19;11:29:36
114917;Bearbeiten_EILT;06.06.19;11:39:12
114919;Facebook;06.06.19;11:54:39
114920;Facebook;06.06.19;11:59:45
114924;Twitter;06.06.19;12:15:10
114925;Facebook;06.06.19;12:18:51
114926;Sonstiges;06.06.19;12:24:03
114927;Facebook;06.06.19;12:49:55
114928;Twitter;06.06.19;13:03:57
114932;Spam;06.06.19;13:51:47
114936;Twitter;06.06.19;14:56:43
114938;Facebook;06.06.19;15:15:32
114939;Newsletter/Information;06.06.19;15:18:28
114942;Facebook;06.06.19;15:24:26
114950;Facebook;06.06.19;15:52:43
114952;Facebook;06.06.19;16:06:08
114966;Facebook;06.06.19;17:20:39
114968;Facebook;06.06.19;17:40:29
114971;Facebook;06.06.19;17:42:45
114973;Facebook;06.06.19;17:47:24
114975;Facebook;06.06.19;17:51:25
114976;Facebook;06.06.19;17:55:50
114980;Facebook;06.06.19;18:08:00
114981;Facebook;06.06.19;18:08:49
114984;Facebook;06.06.19;18:32:13
114985;Bearbeiten_EILT;06.06.19;18:40:13
114991;Facebook;06.06.19;19:07:28
114995;Facebook;06.06.19;19:28:30
114996;Facebook;06.06.19;19:31:44
114997;Facebook;06.06.19;19:34:09
114998;Facebook;06.06.19;19:38:15
115003;Facebook;06.06.19;20:23:27
115004;Bearbeiten_EILT;06.06.19;20:25:31
115005;Bearbeiten_EILT;06.06.19;20:53:44
115007;Facebook;06.06.19;21:18:53
115011;Facebook;06.06.19;22:53:24
115014;Facebook;06.06.19;23:18:03
115015;Facebook;06.06.19;23:25:49
115017;Facebook;06.06.19;23:29:42
115018;Facebook;06.06.19;23:30:28
115019;Facebook;06.06.19;23:31:59
115020;Facebook;06.06.19;23:34:13
115021;Facebook;06.06.19;23:35:00
115022;Facebook;06.06.19;23:42:25
115026;Twitter;07.06.19;00:27:15
115030;Spam;07.06.19;01:09:48
115033;Sonstiges_2;07.06.19;02:06:13
115034;Facebook;07.06.19;02:59:54
115036;Facebook;07.06.19;05:53:32
115037;Facebook;07.06.19;05:54:30
115040;Facebook;07.06.19;06:45:25
115041;Facebook;07.06.19;06:45:26
115042;Facebook;07.06.19;06:47:39
115044;Facebook;07.06.19;07:17:04
115045;Facebook;07.06.19;07:22:37
115046;Facebook;07.06.19;07:37:52
115055;Bearbeiten_EILT;07.06.19;09:13:39
115056;Facebook;07.06.19;09:17:42
115057;Spam;07.06.19;09:18:11
115060;Facebook;07.06.19;09:40:04
115061;Facebook;07.06.19;09:40:05
115062;Facebook;07.06.19;09:46:02
115065;Sonstiges;07.06.19;09:50:58
115068;Facebook;07.06.19;10:14:02
115071;Facebook;07.06.19;10:38:15
115079;Sonstiges;07.06.19;11:29:14
115084;Sonstiges;07.06.19;11:48:23
115087;Facebook;07.06.19;11:52:31
115089;Sonstiges;07.06.19;12:24:40
115090;Facebook;07.06.19;12:34:19
115091;Facebook;07.06.19;12:36:41
115092;Facebook;07.06.19;12:37:26
115093;Facebook;07.06.19;12:40:25
115094;Facebook;07.06.19;12:47:49
115095;Facebook;07.06.19;12:47:50
115096;Facebook;07.06.19;12:47:51
115097;Facebook;07.06.19;12:49:21
115098;Facebook;07.06.19;12:50:58
115099;Facebook;07.06.19;12:50:59
115101;Facebook;07.06.19;12:53:56
